City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Ushuaia,-54.8,-68.3,33.8,64,75,6.93,AR
Alyangula,-13.85,136.42,77.0,73,0,5.82,AU
Hithadhoo,-0.6,73.08,84.06,66,61,3.2,MV
Juneau,58.3,-134.42,57.2,76,75,4.7,US
Atuona,-9.8,-139.03,80.04,78,16,19.13,PF
Port Elizabeth,-33.92,25.57,57.2,87,75,10.29,ZA
San Patricio,19.22,-104.7,84.2,79,20,6.93,MX
Aromashevo,56.86,68.64,49.28,91,0,6.31,RU
Albany,42.6,-73.97,70.0,85,38,5.82,US
Yellowknife,62.46,-114.35,73.99,35,20,10.29,CA
Berlevåg,70.86,29.09,40.14,74,100,14.74,NO
Rikitea,-23.12,-134.97,68.99,60,93,15.37,PF
Faya,18.39,42.45,73.4,40,83,2.57,SA
Butaritari,3.07,172.79,83.14,64,56,4.09,KI
Bluff,-46.6,168.33,50.18,81,100,20.45,NZ
Qaanaaq,77.48,-69.36,42.66,63,100,3.27,GL
Punta Arenas,-53.15,-70.92,23.0,92,0,4.7,CL
Rawson,-43.3,-65.1,45.23,90,100,17.38,AR
Saldanha,-33.01,17.94,50.0,87,0,3.36,ZA
Mataura,-46.19,168.86,43.75,94,100,6.76,NZ
Mangai,-4.05,19.53,72.55,68,74,1.05,CD
Hays,30.05,-98.03,86.0,73,96,1.01,US
Mahébourg,-20.41,57.7,68.0,94,40,2.24,MU
Arraial do Cabo,-22.97,-42.03,66.2,88,75,4.7,BR
Saint-Philippe,-21.36,55.77,68.0,68,66,6.93,RE
Vaini,-21.2,-175.2,80.6,83,75,4.7,TO
Omboué,-1.57,9.26,70.84,84,85,4.85,GA
Lorengau,-2.02,147.27,85.12,70,37,5.46,PG
Dhidhdhoo,6.88,73.1,82.29,81,100,12.73,MV
Mazagão,-0.12,-51.29,80.6,100,0,4.7,BR
Ponta do Sol,32.67,-17.1,69.8,77,40,9.17,PT
Skole,49.04,23.51,60.01,84,100,3.4,UA
Mar del Plata,-38.0,-57.56,52.0,71,90,11.41,AR
Hobart,-42.88,147.33,45.0,87,75,9.17,AU
Puerto Ayora,-0.74,-90.35,71.01,86,33,5.01,EC
Dandong,40.13,124.39,65.66,92,100,3.89,CN
Talnakh,69.49,88.4,62.6,59,100,15.66,RU
Kavieng,-2.57,150.8,85.57,66,11,7.76,PG
Provideniya,64.38,-173.3,44.6,75,100,17.9,RU
Huilong,31.81,121.66,78.01,82,7,8.57,CN
New Norfolk,-42.78,147.06,45.0,93,100,2.68,AU
Saskylakh,71.92,114.08,87.48,29,87,9.4,RU
Zaysan,47.47,84.87,66.31,27,97,4.85,KZ
Ocós,14.51,-92.19,78.8,100,75,4.7,GT
Kruisfontein,-34.0,24.73,51.33,91,8,8.99,ZA
Slave Lake,55.28,-114.77,66.2,68,20,5.82,CA
Airai,-8.93,125.41,66.15,82,88,3.47,TL
Longyearbyen,78.22,15.64,41.0,65,75,11.41,SJ
Bara,10.37,10.73,72.55,89,88,8.05,NG
Hammerfest,70.66,23.68,41.0,81,100,27.51,NO
Waliso,8.53,37.98,58.14,94,95,3.18,ET
Landerneau,48.45,-4.25,59.0,93,90,11.41,FR
Ostrovnoy,68.05,39.51,45.84,82,100,13.15,RU
Anuchino,43.96,133.05,62.53,87,100,1.45,RU
Lagunas,-5.23,-75.68,74.88,90,3,0.87,PE
Santa Rosalía,27.32,-112.28,89.6,42,4,6.06,MX
Naze,28.37,129.48,84.2,88,75,19.46,JP
Tiksi,71.69,128.87,48.6,59,19,8.25,RU
Fortuna,40.6,-124.16,64.0,67,20,14.99,US
Avarua,-21.21,-159.78,77.0,65,0,20.8,CK
Busselton,-33.65,115.33,59.0,77,97,19.53,AU
Jizan,17.33,42.67,89.6,75,1,1.25,SA
Tasiilaq,65.61,-37.64,44.6,75,100,4.7,GL
Port Alfred,-33.59,26.89,57.0,95,44,3.0,ZA
Ciudad Guayana,8.35,-62.65,80.01,82,71,3.0,VE
Leningradskiy,69.38,178.42,33.31,94,58,1.03,RU
Galveston,29.37,-94.97,86.0,84,58,3.0,US
Upernavik,72.79,-56.15,38.88,78,24,7.14,GL
Kumul,42.8,93.45,67.46,44,100,8.21,CN
Zhigansk,66.77,123.37,75.63,41,100,13.24,RU
Caravelas,-17.71,-39.25,73.63,77,100,11.65,BR
Mineiros,-17.57,-52.55,66.49,66,100,5.39,BR
São José da Coroa Grande,-8.9,-35.15,75.43,82,0,6.98,BR
Dikson,73.51,80.55,49.78,74,31,18.77,RU
Vanimo,-2.67,141.3,86.27,58,100,3.2,PG
Arrondissement de Perpignan,42.75,2.75,72.0,68,20,6.93,FR
Hong Kong,22.29,114.16,88.0,70,92,7.96,HK
